endpoint,benchmark,P_profile_pp,A_axis,R_pp,hub_z,support_pass,released,direction_agreement
ESCAPE antifungal,ESCAPE,9.08,0.291866,9.0,16.502294,1,1,True
TAPE class 0,TAPE remote homology family holdout,11.555579529278448,0.4346275560487109,7.966252100895033,7.371572886813957,1,1,True
TAPE class 1,TAPE remote homology family holdout,10.93232156232763,0.2899790601874773,4.087468774600634,13.244002443922373,1,1,True
TAPE class 2,TAPE remote homology family holdout,1.470501726453621,0.5155910882175725,2.724591815798893,23.928002677597288,0,0,False
TAPE class 3,TAPE remote homology family holdout,9.458150001447176,0.4597497570045301,8.272518670911094,6.112282847345576,1,1,True
TAPE class 4,TAPE remote homology family holdout,12.137036441806131,1.341554524799836,6.49162029516388,6.784796121604035,0,0,False
TAPE class 5,TAPE remote homology family holdout,66.48148148148148,0.6723524997414565,31.772920461445054,0.0,0,0,False
TAPE class 6,TAPE remote homology family holdout,0.2165419372653132,0.0716177557363687,0.6739854406351831,18.54558883591208,1,0,False
