jaccard_bin_center,mean_identity,sem_identity
0.15,0.308223627139823,0.00381861916455721
0.35,0.721731859592083,0.00556997225818231
0.45,0.783204726628326,0.00515813065631044
0.55,0.816265701694066,0.00627046744884911
0.65,0.844965416919294,0.00736631421590484
0.75,0.890379330355968,0.00652982566040244
0.9000005,0.939376781078864,0.00346945064894168
