check,result,role
Train-only PCA,PCA fit on Fold 1 and applied to Fold 2/test,Protocol control
Three model seeds,Reference mAP 88.84 +/- 0.20%; AUC 98.51 +/- 0.10%; F1 82.6 +/- 1.1%,Model uncertainty
Cluster bootstrap,Train-only PCA span 14.51 +/- 1.47 pp across three seeds,Profile uncertainty
Jaccard versus alignment,Spearman rho=0.906; Pearson r=0.828; n=7762,Similarity proxy check
k-mer sensitivity,k=2-5 preserved threshold ordering,Input-axis robustness
Support calibration,Frozen maximum hub-z cutoff=23.7041,Eligibility rule
Primary screen,4 released endpoints among 8; 4/4 released directions agreed,Generalization check
