Analysis,30% threshold AP (%),100% threshold AP (%),Span (pp),Interpretation
Original retained subsets,76.72,88.39,11.67,Native threshold-specific class composition
Prevalence-matched average precision,76.7,85.8,9.1,"Same class counts as the 30% subset (187 positives, 3,773 negatives)"
